timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605619660349,57,Add New Book,200,OK,Endruance Test 2-7,text,true,,382,380,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,57,0,0
1605619660365,55,Add New Book using variable,200,OK,Stress Test 3-1,text,true,,382,380,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,55,0,0
1605619660383,54,Add New Book,200,OK,Endruance Test 2-6,text,true,,382,380,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,54,0,0
1605619659947,493,Get Books,200,OK,Stress Test 3-3,text,true,,97539,211,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,332,0,158
1605619660385,58,Get Cover Photos,200,OK,Endruance Test 2-5,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,56,0,0
1605619660385,59,Get Cover Photos,200,OK,Endruance Test 2-3,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,58,0,0
1605619660026,422,Get Books,200,OK,Stress Test 3-8,text,true,,97539,211,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,320,0,253
1605619660395,54,Add New Book,200,OK,Endruance Test 2-2,text,true,,382,380,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,54,0,0
1605619660406,57,Get Cover Photos,200,OK,Endruance Test 2-7,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660420,55,Get Cover Photos,200,OK,Stress Test 3-1,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660155,331,Add User,200,OK,Endruance Test 2-10,text,true,,326,292,10,20,https://webapp-api-appservice.azurewebsites.net/api/Users,331,0,0
1605619660392,102,Get Cover Photos,200,OK,Stress Test 3-2,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,98,0,0
1605619660441,55,Add New Book using variable,200,OK,Stress Test 3-3,text,true,,382,380,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,55,0,0
1605619660443,55,Add CoverPhoto,200,OK,Endruance Test 2-5,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660438,60,Get Cover Photos,200,OK,Endruance Test 2-6,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,59,0,0
1605619660444,54,Add CoverPhoto,200,OK,Endruance Test 2-3,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,54,0,0
1605619660448,54,Add New Book using variable,200,OK,Stress Test 3-8,text,true,,382,380,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books,54,0,0
1605619660450,66,Get Cover Photos,200,OK,Endruance Test 2-2,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660463,53,Add CoverPhoto,200,OK,Endruance Test 2-7,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660155,361,Add User,200,OK,Stress Test 3-10,text,true,,326,292,10,20,https://webapp-api-appservice.azurewebsites.net/api/Users,361,0,0
1605619660476,53,Add CoverPhoto,200,OK,Stress Test 3-1,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660494,57,Add CoverPhoto,200,OK,Stress Test 3-2,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,57,0,0
1605619660498,59,Get Book of specific ID,200,OK,Endruance Test 2-3,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/3,59,0,0
1605619660497,61,Get Cover Photos,200,OK,Stress Test 3-3,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,60,0,0
1605619660498,60,Add CoverPhoto,200,OK,Endruance Test 2-6,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,60,0,0
1605619660502,61,Get Cover Photos,200,OK,Stress Test 3-8,text,true,,20739,217,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,58,0,0
1605619660498,69,Get Book of specific ID,200,OK,Endruance Test 2-5,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/5,69,0,0
1605619660516,60,Add CoverPhoto,200,OK,Endruance Test 2-2,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,60,0,0
1605619660517,60,Get Book of specific ID,200,OK,Endruance Test 2-7,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/2,60,0,0
1605619660529,62,Get Book of specific ID,200,OK,Stress Test 3-1,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/1,62,0,0
1605619660552,58,Get Book of specific ID,200,OK,Stress Test 3-2,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/2,58,0,0
1605619660558,52,Get Cover Photos By ID,200,OK,Endruance Test 2-3,text,true,,356,219,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/3,52,0,0
1605619660558,60,Add CoverPhoto,200,OK,Stress Test 3-3,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,59,0,0
1605619660558,64,Get Book of specific ID,200,OK,Endruance Test 2-6,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/1,64,0,0
1605619660567,55,Get Cover Photos By ID,200,OK,Endruance Test 2-5,text,true,,356,219,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/1,55,0,0
1605619660563,60,Add CoverPhoto,200,OK,Stress Test 3-8,text,true,,321,317,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,60,0,0
1605619660577,55,Get Cover Photos By ID,200,OK,Endruance Test 2-7,text,true,,356,219,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/3,55,0,0
1605619660576,57,Get Book of specific ID,200,OK,Endruance Test 2-2,text,true,,741,213,10,20,https://webapp-api-appservice.azurewebsites.net/api/Books/2,57,0,0
1605619660592,52,Get Cover Photos By ID,200,OK,Stress Test 3-1,text,true,,356,219,10,20,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/1,52,0,0
1605619660610,53,Add Users,200,OK,Endruance Test 2-3,text,true,,305,294,10,20,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619660610,59,Get Cover Photos By ID,200,OK,Stress Test 3-2,text,true,,356,219,10,19,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/2,59,0,0
1605619660622,53,Add Users,200,OK,Endruance Test 2-5,text,true,,305,294,9,19,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619660622,53,Get Cover Photos By ID,200,OK,Endruance Test 2-6,text,true,,356,219,9,19,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/2,53,0,0
1605619660618,61,Get Book of specific ID,200,OK,Stress Test 3-3,text,true,,741,213,10,18,https://webapp-api-appservice.azurewebsites.net/api/Books/3,61,0,0
1605619660633,53,Add Users,200,OK,Endruance Test 2-7,text,true,,305,294,8,18,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619660634,53,Get Cover Photos By ID,200,OK,Endruance Test 2-2,text,true,,356,219,7,17,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/2,53,0,0
1605619660623,67,Get Book of specific ID,200,OK,Stress Test 3-8,text,true,,741,213,10,17,https://webapp-api-appservice.azurewebsites.net/api/Books/3,67,0,0
1605619660644,54,Add Users from CSV,200,OK,Stress Test 3-1,text,true,,305,294,10,17,https://webapp-api-appservice.azurewebsites.net/api/Users,54,0,0
1605619660044,662,Get Books,200,OK,Endruance Test 2-8,text,true,,97539,211,7,17,https://webapp-api-appservice.azurewebsites.net/api/Books,505,0,439
1605619660098,615,Get Books,200,OK,Stress Test 3-9,text,true,,97539,211,10,17,https://webapp-api-appservice.azurewebsites.net/api/Books,470,0,400
1605619659889,830,Get Books,200,OK,Stress Test 3-6,text,true,,97539,211,10,17,https://webapp-api-appservice.azurewebsites.net/api/Books,166,0,101
1605619660669,58,Add Users from CSV,200,OK,Stress Test 3-2,text,true,,305,294,10,17,https://webapp-api-appservice.azurewebsites.net/api/Users,58,0,0
1605619660676,54,Add Users,200,OK,Endruance Test 2-6,text,true,,305,294,7,17,https://webapp-api-appservice.azurewebsites.net/api/Users,54,0,0
1605619660680,53,Get Cover Photos By ID,200,OK,Stress Test 3-3,text,true,,356,219,10,16,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/3,53,0,0
1605619660687,55,Add Users,200,OK,Endruance Test 2-2,text,true,,305,294,6,16,https://webapp-api-appservice.azurewebsites.net/api/Users,55,0,0
1605619660690,55,Get Cover Photos By ID,200,OK,Stress Test 3-8,text,true,,356,219,10,15,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/4,54,0,0
1605619660699,62,Get Books CSV,200,OK,Stress Test 3-1,text,true,,741,213,10,15,https://webapp-api-appservice.azurewebsites.net/api/Books/1,62,0,0
1605619660707,57,Add New Book,200,OK,Endruance Test 2-8,text,true,,382,380,5,14,https://webapp-api-appservice.azurewebsites.net/api/Books,57,0,0
1605619659889,877,Get Books,200,OK,Stress Test 3-4,text,true,,97539,211,9,14,https://webapp-api-appservice.azurewebsites.net/api/Books,179,0,106
1605619660714,56,Add New Book using variable,200,OK,Stress Test 3-9,text,true,,382,380,9,14,https://webapp-api-appservice.azurewebsites.net/api/Books,56,0,0
1605619660720,51,Add New Book using variable,200,OK,Stress Test 3-6,text,true,,382,380,9,14,https://webapp-api-appservice.azurewebsites.net/api/Books,51,0,0
1605619660734,51,Add Users from CSV,200,OK,Stress Test 3-3,text,true,,305,294,9,14,https://webapp-api-appservice.azurewebsites.net/api/Users,51,0,0
